id,labels,status,x,y,color
2018-1-15/08/2019,,Right Angle,138.5577911,-35.0040286,yellow
2018-2-15/08/2019,,Rear End,138.4940607,-34.8467395,black
2018-3-15/08/2019,,Right Angle,138.6973392,-34.7903999,yellow
2018-4-15/08/2019,,Right Turn,138.6588398,-34.7381112,gray
2018-5-15/08/2019,,Right Turn,138.5663609,-34.9017865,gray
2018-6-15/08/2019,,Hit Fixed Object,138.6637216,-34.7401969,blue
2018-7-15/08/2019,,Hit Fixed Object,138.504369,-34.8287806,blue
2018-8-15/08/2019,,Hit Fixed Object,139.0388497,-34.8139419,blue
2018-9-15/08/2019,,Right Angle,138.6410025,-34.920971,yellow
2018-10-15/08/2019,,Hit Fixed Object,139.0145978,-34.7630123,blue
2018-11-15/08/2019,,Rear End,138.5995325,-34.9243596,black
2018-12-15/08/2019,,Hit Fixed Object,138.6564496,-34.6604274,blue
2018-13-15/08/2019,,Hit Fixed Object,138.7418236,-34.7013608,blue
2018-14-15/08/2019,,Right Angle,138.523291,-34.9866515,yellow
2018-15-15/08/2019,,Other,138.8918964,-33.60398,orange
2018-16-15/08/2019,,Right Angle,138.6062006,-34.9312114,yellow
2018-17-15/08/2019,,Hit Fixed Object,138.8173102,-34.918312,blue
2018-18-15/08/2019,,Hit Fixed Object,140.809203,-37.9499886,blue
2018-19-15/08/2019,,Hit Animal,139.5798311,-34.0480441,pink
2018-20-15/08/2019,,Right Angle,138.6480142,-34.8629766,yellow
2018-21-15/08/2019,,Right Turn,138.5916491,-34.9772481,gray
2018-22-15/08/2019,,Right Angle,135.8548137,-34.719641,yellow
2018-23-15/08/2019,,Hit Fixed Object,138.5506126,-34.9045638,blue
2018-24-15/08/2019,,Rear End,138.5350455,-34.8809686,black
2018-25-15/08/2019,,Hit Parked Vehicle,138.5314819,-34.8901472,green
2018-26-15/08/2019,,Hit Fixed Object,138.6721533,-34.6307261,blue
2018-27-15/08/2019,,Roll Over,138.5369737,-34.5352174,pink
2018-28-15/08/2019,,Hit Fixed Object,138.7407874,-33.9351643,blue
2018-29-15/08/2019,,Hit Fixed Object,138.9844508,-35.3011887,blue
2018-30-15/08/2019,,Hit Fixed Object,138.6049837,-34.9246824,blue
2018-31-15/08/2019,,Hit Parked Vehicle,139.2678118,-35.1230622,green
2018-32-15/08/2019,,Right Angle,138.5916991,-34.7600392,yellow
2018-33-15/08/2019,,Hit Fixed Object,138.5216883,-34.8956342,blue
2018-34-15/08/2019,,Right Angle,138.5924995,-34.8405698,yellow
2018-35-15/08/2019,,Right Angle,138.6832162,-34.6994587,yellow
2018-36-15/08/2019,,Hit Parked Vehicle,138.686194,-34.8761639,green
2018-37-15/08/2019,,Right Angle,138.5564744,-34.9861037,yellow
2018-38-15/08/2019,,Right Angle,138.5283639,-34.9070229,yellow
2018-39-15/08/2019,,Roll Over,138.7465942,-35.3879153,pink
2018-40-15/08/2019,,Hit Fixed Object,138.9207102,-34.893942,blue
2018-41-15/08/2019,,Right Angle,138.5095244,-34.8523496,yellow
2018-42-15/08/2019,,Hit Fixed Object,138.6897844,-34.7947483,blue
2018-43-15/08/2019,,Hit Fixed Object,138.6120369,-34.992962,blue
2018-44-15/08/2019,,Hit Pedestrian,138.7189721,-34.6298458,azure
2018-45-15/08/2019,,Side Swipe,138.5896682,-34.7540284,cyan
2018-46-15/08/2019,,Hit Animal,138.8817597,-34.3985335,pink
2018-47-15/08/2019,,Side Swipe,138.6071591,-34.9265123,cyan
2018-48-15/08/2019,,Hit Parked Vehicle,138.6292781,-34.7706512,green
2018-49-15/08/2019,,Hit Fixed Object,138.2053044,-34.2291052,blue
2018-50-15/08/2019,,Right Angle,138.5856435,-35.0264456,yellow
2018-51-15/08/2019,,Rear End,138.8174429,-35.0374983,black
2018-52-15/08/2019,,Side Swipe,138.5881399,-34.8993118,cyan
2018-53-15/08/2019,,Rear End,138.6388754,-34.9394365,black
2018-54-15/08/2019,,Hit Pedestrian,138.6212346,-35.5557752,azure
2018-55-15/08/2019,,Rear End,138.9243061,-35.0578696,black
2018-56-15/08/2019,,Right Turn,138.6174102,-34.8472309,gray
2018-57-15/08/2019,,Hit Fixed Object,137.6861749,-33.9684947,blue
2018-58-15/08/2019,,Hit Fixed Object,138.6179825,-34.7531705,blue
2018-59-15/08/2019,,Right Angle,138.6232411,-34.9223732,yellow
2018-60-15/08/2019,,Rear End,138.6647224,-34.8766893,black
2018-61-15/08/2019,,Rear End,138.7604641,-35.4548725,black
2018-62-15/08/2019,,Hit Parked Vehicle,138.6689525,-34.9363044,green
2018-63-15/08/2019,,Hit Fixed Object,140.9137534,-36.3261579,blue
2018-64-15/08/2019,,Right Angle,138.5314972,-34.8513345,yellow
2018-65-15/08/2019,,Right Angle,138.659696,-34.8456015,yellow
2018-66-15/08/2019,,Right Angle,138.6011223,-34.8608035,yellow
2018-67-15/08/2019,,Rear End,138.5512789,-35.0829528,black
2018-68-15/08/2019,,Rear End,138.6170266,-34.8057056,black
2018-69-15/08/2019,,Hit Parked Vehicle,138.6505613,-34.8054151,green
2018-70-15/08/2019,,Hit Parked Vehicle,138.730679,-34.8140932,green
2018-71-15/08/2019,,Hit Parked Vehicle,139.2789605,-35.1381903,green
2018-72-15/08/2019,,Left Road - Out of Control,138.7647302,-35.4010767,brown
2018-73-15/08/2019,,Side Swipe,138.5106863,-34.8565134,cyan
2018-74-15/08/2019,,Side Swipe,138.5197337,-34.9763956,cyan
2018-75-15/08/2019,,Rear End,138.681999,-34.8344503,black
2018-76-15/08/2019,,Rear End,138.5305843,-35.0016861,black
2018-77-15/08/2019,,Side Swipe,138.6823687,-34.7209597,cyan
2018-78-15/08/2019,,Right Angle,138.5404018,-35.0915573,yellow
2018-79-15/08/2019,,Rear End,138.5780408,-35.0111275,black
2018-80-15/08/2019,,Rear End,138.5396657,-35.0095119,black
2018-81-15/08/2019,,Right Angle,138.5721434,-34.8328213,yellow
2018-82-15/08/2019,,Rear End,138.5129683,-34.8593951,black
2018-83-15/08/2019,,Roll Over,138.5833635,-34.9240296,pink
2018-84-15/08/2019,,Rear End,138.6420961,-34.9352453,black
2018-85-15/08/2019,,Hit Pedestrian,138.4831709,-35.2678336,azure
2018-86-15/08/2019,,Hit Fixed Object,138.7834139,-34.8316934,blue
2018-87-15/08/2019,,Side Swipe,138.5826444,-34.7326165,cyan
2018-88-15/08/2019,,Side Swipe,138.5519423,-34.9246603,cyan
2018-89-15/08/2019,,Right Angle,138.318433,-35.4477637,yellow
2018-90-15/08/2019,,Right Angle,139.2788506,-35.1277667,yellow
2018-91-15/08/2019,,Hit Fixed Object,138.6203456,-35.0403291,blue
2018-92-15/08/2019,,Side Swipe,138.6189121,-34.8683281,cyan
