id,pole_nr,color,area,row,status,x,y,labels
1,1,darkslategray4,T1,T1-01,05-Precom,5.614682632,35.52664283,
2,2,darkslategray4,T1,T1-01,05-Precom,5.614680432,35.52671583,
3,3,darkslategray4,T1,T1-01,05-Precom,5.614678132,35.52679153,
4,4,darkslategray4,T1,T1-01,05-Precom,5.614675932,35.52686453,
5,5,darkslategray4,T1,T1-01,05-Precom,5.614674032,35.52692793,
6,6,darkslategray4,T1,T1-01,05-Precom,5.614671832,35.52700093,
7,7,darkslategray4,T1,T1-01,05-Precom,5.614669532,35.52707663,
8,8,darkslategray4,T1,T1-01,05-Precom,5.614667332,35.52714953,
9,9,darkslategray4,T1,T1-01,05-Precom,5.614665432,35.52721303,
10,10,darkslategray4,T1,T1-01,05-Precom,5.614663232,35.52728603,
11,11,darkslategray4,T1,T1-01,05-Precom,5.614660932,35.52736173,
12,12,darkslategray4,T1,T1-01,05-Precom,5.614658732,35.52743463,
13,13,darkslategray4,T1,T1-01,05-Precom,5.614656832,35.52749823,
14,14,darkslategray4,T1,T1-01,05-Precom,5.614654632,35.52757123,
15,15,darkslategray4,T1,T1-01,05-Precom,5.614652332,35.52764683,
16,16,darkslategray4,T1,T1-01,05-Precom,5.614650132,35.52771983,
17,17,darkslategray4,T1,T1-01,05-Precom,5.614648132,35.52778333,
18,18,darkslategray4,T1,T1-01,05-Precom,5.614645932,35.52785633,
19,21,darkslategray4,T1,T1-02,05-Precom,5.614639532,35.52806873,
20,22,darkslategray4,T1,T1-02,05-Precom,5.614637332,35.52814173,
21,23,darkslategray4,T1,T1-02,05-Precom,5.614635032,35.52821743,
22,24,darkslategray4,T1,T1-02,05-Precom,5.614632832,35.52829033,
23,25,darkslategray4,T1,T1-02,05-Precom,5.614630932,35.52835363,
24,26,darkslategray4,T1,T1-02,05-Precom,5.614628732,35.52842663,
25,27,darkslategray4,T1,T1-02,05-Precom,5.614626432,35.52850233,
26,28,darkslategray4,T1,T1-02,05-Precom,5.614624232,35.52857523,
27,29,darkslategray4,T1,T1-02,05-Precom,5.614622332,35.52863823,
28,30,darkslategray4,T1,T1-02,05-Precom,5.614620132,35.52871113,
29,31,darkslategray4,T1,T1-02,05-Precom,5.614617832,35.52878683,
30,32,darkslategray4,T1,T1-02,05-Precom,5.614615632,35.52885983,
31,33,darkslategray4,T1,T1-02,05-Precom,5.614613732,35.52892343,
32,34,darkslategray4,T1,T1-02,05-Precom,5.614611532,35.52899643,
33,35,darkslategray4,T1,T1-02,05-Precom,5.614609232,35.52907213,
34,36,darkslategray4,T1,T1-02,05-Precom,5.614607032,35.52914513,
35,37,darkslategray4,T1,T1-02,05-Precom,5.614605132,35.52920873,
36,38,darkslategray4,T1,T1-02,05-Precom,5.614602932,35.52928163,
37,1,darkslategray4,T1,T1-03,05-Precom,5.614844232,35.52664613,
38,2,darkslategray4,T1,T1-03,05-Precom,5.614842032,35.52671913,
39,3,darkslategray4,T1,T1-03,05-Precom,5.614839732,35.52679483,
40,4,darkslategray4,T1,T1-03,05-Precom,5.614837532,35.52686783,
41,5,darkslategray4,T1,T1-03,05-Precom,5.614835632,35.52693123,
42,6,darkslategray4,T1,T1-03,05-Precom,5.614833432,35.52700423,
43,7,darkslategray4,T1,T1-03,05-Precom,5.614831132,35.52707993,
44,8,darkslategray4,T1,T1-03,05-Precom,5.614828932,35.52715293,
45,9,darkslategray4,T1,T1-03,05-Precom,5.614827032,35.52721633,
46,10,darkslategray4,T1,T1-03,05-Precom,5.614824832,35.52728933,
47,11,darkslategray4,T1,T1-03,05-Precom,5.614822532,35.52736503,
48,12,darkslategray4,T1,T1-03,05-Precom,5.614820332,35.52743803,
49,13,darkslategray4,T1,T1-03,05-Precom,5.614818432,35.52750153,
50,14,darkslategray4,T1,T1-03,05-Precom,5.614816132,35.52757453,
51,15,darkslategray4,T1,T1-03,05-Precom,5.614813932,35.52765023,
52,16,darkslategray4,T1,T1-03,05-Precom,5.614811732,35.52772313,
53,17,darkslategray4,T1,T1-03,05-Precom,5.614809732,35.52778673,
54,18,darkslategray4,T1,T1-03,05-Precom,5.614807532,35.52785963,
55,21,darkslategray4,T1,T1-04,05-Precom,5.614801132,35.52807213,
56,22,darkslategray4,T1,T1-04,05-Precom,5.614798932,35.52814513,
57,23,darkslategray4,T1,T1-04,05-Precom,5.614796632,35.52822073,
58,24,darkslategray4,T1,T1-04,05-Precom,5.614794432,35.52829373,
59,25,darkslategray4,T1,T1-04,05-Precom,5.614792532,35.52835683,
60,26,darkslategray4,T1,T1-04,05-Precom,5.614790332,35.52842973,
61,27,darkslategray4,T1,T1-04,05-Precom,5.614788032,35.52850543,
62,28,darkslategray4,T1,T1-04,05-Precom,5.614785832,35.52857843,
63,29,darkslategray4,T1,T1-04,05-Precom,5.614783932,35.52864153,
64,30,darkslategray4,T1,T1-04,05-Precom,5.614781732,35.52871453,
65,31,darkslategray4,T1,T1-04,05-Precom,5.614779432,35.52879023,
66,32,darkslategray4,T1,T1-04,05-Precom,5.614777232,35.52886313,
67,33,darkslategray4,T1,T1-04,05-Precom,5.614775332,35.52892683,
68,34,darkslategray4,T1,T1-04,05-Precom,5.614773132,35.52899983,
69,35,darkslategray4,T1,T1-04,05-Precom,5.614770832,35.52907553,
70,36,darkslategray4,T1,T1-04,05-Precom,5.614768632,35.52914843,
71,37,darkslategray4,T1,T1-04,05-Precom,5.614766732,35.52921203,
72,38,darkslategray4,T1,T1-04,05-Precom,5.614764532,35.52928503,
73,1,darkslategray4,T1,T1-05,05-Precom,5.615005832,35.52664953,
74,2,darkslategray4,T1,T1-05,05-Precom,5.615003632,35.52672243,
75,3,darkslategray4,T1,T1-05,05-Precom,5.615001332,35.52679813,
76,4,darkslategray4,T1,T1-05,05-Precom,5.614999132,35.52687113,
77,5,darkslategray4,T1,T1-05,05-Precom,5.614997232,35.52693463,
78,6,darkslategray4,T1,T1-05,05-Precom,5.614995032,35.52700763,
79,7,darkslategray4,T1,T1-05,05-Precom,5.614992732,35.52708323,
80,8,darkslategray4,T1,T1-05,05-Precom,5.614990532,35.52715623,
81,9,darkslategray4,T1,T1-05,05-Precom,5.614988632,35.52721973,
82,10,darkslategray4,T1,T1-05,05-Precom,5.614986432,35.52729263,
83,11,darkslategray4,T1,T1-05,05-Precom,5.614984132,35.52736833,
84,12,darkslategray4,T1,T1-05,05-Precom,5.614981932,35.52744133,
85,13,darkslategray4,T1,T1-05,05-Precom,5.614979932,35.52750483,
86,14,darkslategray4,T1,T1-05,05-Precom,5.614977732,35.52757783,
87,15,darkslategray4,T1,T1-05,05-Precom,5.614975532,35.52765353,
88,16,darkslategray4,T1,T1-05,05-Precom,5.614973232,35.52772643,
89,17,darkslategray4,T1,T1-05,05-Precom,5.614971332,35.52779003,
90,18,darkslategray4,T1,T1-05,05-Precom,5.614969132,35.52786303,
91,21,darkslategray4,T1,T1-06,05-Precom,5.614962732,35.52807533,
92,22,darkslategray4,T1,T1-06,05-Precom,5.614960532,35.52814833,
93,23,darkslategray4,T1,T1-06,05-Precom,5.614958232,35.52822403,
94,24,darkslategray4,T1,T1-06,05-Precom,5.614956032,35.52829693,
95,25,darkslategray4,T1,T1-06,05-Precom,5.614954132,35.52835993,
96,26,darkslategray4,T1,T1-06,05-Precom,5.614951932,35.52843293,
97,27,darkslategray4,T1,T1-06,05-Precom,5.614949632,35.52850863,
98,28,darkslategray4,T1,T1-06,05-Precom,5.614947432,35.52858153,
99,29,darkslategray4,T1,T1-06,05-Precom,5.614945532,35.52864493,
