color,status,labels,geometry
darkslategray4,05-Precom,,"LINESTRING (5.614682632 35.52664283,5.614645932 35.52785633)"
darkslategray4,05-Precom,,"LINESTRING (5.614639532 35.52806873,5.614602932 35.52928163)"
darkslategray4,05-Precom,,"LINESTRING (5.614844232 35.52664613,5.614807532 35.52785963)"
darkslategray4,05-Precom,,"LINESTRING (5.614801132 35.52807213,5.614764532 35.52928503)"
darkslategray4,05-Precom,,"LINESTRING (5.615005832 35.52664953,5.614969132 35.52786303)"
darkslategray4,05-Precom,,"LINESTRING (5.614962732 35.52807533,5.614926132 35.52928833)"
darkslategray4,05-Precom,,"LINESTRING (5.615167432 35.52665283,5.615130732 35.52786633)"
darkslategray4,05-Precom,,"LINESTRING (5.615124332 35.52807853,5.615087632 35.52929163)"
darkslategray4,05-Precom,,"LINESTRING (5.615329032 35.52665623,5.615292332 35.52786963)"
darkslategray4,05-Precom,,"LINESTRING (5.615285932 35.52808183,5.615249232 35.52929503)"
darkslategray4,05-Precom,,"LINESTRING (5.614316432 35.52806203,5.614279732 35.52927503)"
darkslategray4,05-Precom,,"LINESTRING (5.614521032 35.52663953,5.614484432 35.52785303)"
darkslategray4,05-Precom,,"LINESTRING (5.614477932 35.52806543,5.614441332 35.52927833)"
darkslategray4,05-Precom,T1,POINT (5.614458532 35.52870793)
black,06-Commissioning,,"LINESTRING (5.611289232 35.52657313,5.611252632 35.52778653)"
black,06-Commissioning,,"LINESTRING (5.611246232 35.52799873,5.611209632 35.52921183)"
black,06-Commissioning,,"LINESTRING (5.611450832 35.52657643,5.611414232 35.52778983)"
black,06-Commissioning,,"LINESTRING (5.611407832 35.52800203,5.611371232 35.52921523)"
black,06-Commissioning,,"LINESTRING (5.611612432 35.52657973,5.611575832 35.52779313)"
black,06-Commissioning,,"LINESTRING (5.611569432 35.52800533,5.611532832 35.52921853)"
black,06-Commissioning,,"LINESTRING (5.611774032 35.52658303,5.611737432 35.52779643)"
black,06-Commissioning,,"LINESTRING (5.611731032 35.52800863,5.611694332 35.52922183)"
black,06-Commissioning,,"LINESTRING (5.611935632 35.52658643,5.611898932 35.52779973)"
black,06-Commissioning,,"LINESTRING (5.611892532 35.52801193,5.611855932 35.52922523)"
darkslategray4,05-Precom,,"LINESTRING (5.612097232 35.52658973,5.612060532 35.52780303)"
darkslategray4,05-Precom,,"LINESTRING (5.612054132 35.52801523,5.612017532 35.52922853)"
darkslategray4,05-Precom,,"LINESTRING (5.612258732 35.52659303,5.612222132 35.52780643)"
darkslategray4,05-Precom,,"LINESTRING (5.612215732 35.52801853,5.612179132 35.52923183)"
darkslategray4,05-Precom,,"LINESTRING (5.612420332 35.52659633,5.612383732 35.52780973)"
darkslategray4,05-Precom,,"LINESTRING (5.612377332 35.52802183,5.612340732 35.52923523)"
darkslategray4,05-Precom,,"LINESTRING (5.612581932 35.52659963,5.612545332 35.52781303)"
darkslategray4,05-Precom,,"LINESTRING (5.612538932 35.52802513,5.612502332 35.52923853)"
darkslategray4,05-Precom,,"LINESTRING (5.612743532 35.52660303,5.612706932 35.52781633)"
darkslategray4,05-Precom,,"LINESTRING (5.612700532 35.52802853,5.612663932 35.52924183)"
darkslategray4,05-Precom,,"LINESTRING (5.612905132 35.52660633,5.612868532 35.52781973)"
darkslategray4,05-Precom,,"LINESTRING (5.612862132 35.52803193,5.612825432 35.52924513)"
darkslategray4,05-Precom,,"LINESTRING (5.613066732 35.52660963,5.613030132 35.52782303)"
darkslategray4,05-Precom,,"LINESTRING (5.613023732 35.52803523,5.612987032 35.52924843)"
darkslategray4,05-Precom,,"LINESTRING (5.613551532 35.52661963,5.613514832 35.52783313)"
darkslategray4,05-Precom,,"LINESTRING (5.613508432 35.52804533,5.613471832 35.52925843)"
darkslategray4,05-Precom,,"LINESTRING (5.613713132 35.52662293,5.613676432 35.52783643)"
darkslategray4,05-Precom,,"LINESTRING (5.613670032 35.52804873,5.613633432 35.52926173)"
darkslategray4,05-Precom,,"LINESTRING (5.613874732 35.52662623,5.613838032 35.52783973)"
darkslategray4,05-Precom,,"LINESTRING (5.613831632 35.52805203,5.613795032 35.52926503)"
darkslategray4,05-Precom,,"LINESTRING (5.614036232 35.52662953,5.613999632 35.52784313)"
darkslategray4,05-Precom,,"LINESTRING (5.613993232 35.52805533,5.613956532 35.52926833)"
darkslategray4,05-Precom,,"LINESTRING (5.614197832 35.52663283,5.614161232 35.52784643)"
darkslategray4,05-Precom,,"LINESTRING (5.614154832 35.52805863,5.614118132 35.52927173)"
darkslategray4,05-Precom,,"LINESTRING (5.614359432 35.52663623,5.614322832 35.52784973)"
black,06-Commissioning,,"LINESTRING (5.607087832 35.52648713,5.607051332 35.52770023)"
black,06-Commissioning,,"LINESTRING (5.607044932 35.52791243,5.607008332 35.52912563)"
black,06-Commissioning,,"LINESTRING (5.607249432 35.52649043,5.607212932 35.52770353)"
black,06-Commissioning,,"LINESTRING (5.607206532 35.52791573,5.607169932 35.52912893)"
black,06-Commissioning,,"LINESTRING (5.607411032 35.52649363,5.607374532 35.52770693)"
black,06-Commissioning,,"LINESTRING (5.607368132 35.52791903,5.607331532 35.52913233)"
black,06-Commissioning,,"LINESTRING (5.607572632 35.52649693,5.607536032 35.52771023)"
black,06-Commissioning,,"LINESTRING (5.607529732 35.52792243,5.607493132 35.52913563)"
black,06-Commissioning,,"LINESTRING (5.607734232 35.52650023,5.607697632 35.52771353)"
black,06-Commissioning,,"LINESTRING (5.607691232 35.52792583,5.607654732 35.52913893)"
black,06-Commissioning,,"LINESTRING (5.607895832 35.52650353,5.607859232 35.52771683)"
black,06-Commissioning,,"LINESTRING (5.607852832 35.52792923,5.607816332 35.52914223)"
black,06-Commissioning,,"LINESTRING (5.608057432 35.52650683,5.608020832 35.52772023)"
black,06-Commissioning,T2,POINT (5.608038032 35.52715013)
black,06-Commissioning,,"LINESTRING (5.608014432 35.52793253,5.607977932 35.52914553)"
black,06-Commissioning,T2,POINT (5.607997232 35.52850213)
black,06-Commissioning,,"LINESTRING (5.608219032 35.52651013,5.608182432 35.52772363)"
black,06-Commissioning,,"LINESTRING (5.608176032 35.52793593,5.608139432 35.52914883)"
black,06-Commissioning,,"LINESTRING (5.608380632 35.52651343,5.608344032 35.52772693)"
black,06-Commissioning,,"LINESTRING (5.608337632 35.52793933,5.608301032 35.52915213)"
black,06-Commissioning,,"LINESTRING (5.608542232 35.52651673,5.608505632 35.52773023)"
black,06-Commissioning,,"LINESTRING (5.608499232 35.52794263,5.608462632 35.52915553)"
black,06-Commissioning,,"LINESTRING (5.608703732 35.52652003,5.608667232 35.52773363)"
black,06-Commissioning,,"LINESTRING (5.608660832 35.52794593,5.608624232 35.52915883)"
